Diameter (mm),Height (mm),Compressive Strength (MPa),Fiber Volume Ratio,Fiber Elastic Modulus (GPa),Fiber Tensile Strength (MPa),Fiber Thickness (mm),Number of Layers,Confinement Strength (MPa)
160,320,26.2,0.025,26,325,1,1,38
152,305,49.4,0.016,120,2900,0.6,3,109
152,305,18.3,0.005,76,3910,0.17,1,26.86
150,300,39,0.015,65,1700,0.56,2,64
150,300,47.7,0.107,27,540,3.9,3,100.1
150,300,43,0.034,14,230,1.27,1,47.3
150,300,69,0.012,65,3000,0.45,3,81
153,305,29.8,0.007,56,1800,0.28,1,31.03
152,305,39,0.016,120,2900,0.6,3,85
160,320,61.7,0.076,26,325,3,3,94.4
153,305,29.8,0.022,56,1800,0.83,3,58.68
160,320,61.7,0.051,26,325,2,2,78
152.5,305,113.8,0.032,129,2390,1.2,6,170.7
105,315,50.64,0.005,118,2060,0.14,2,62.69
100,200,67.03,0.107,26,575,2.6,2,89.9
150,600,31.2,0.069,21,464,2.54,2,88.7
152,305,44.1,0.045,18,425,1.68,2,63.62
150,300,36.2,0.057,31,602,2.1,3,98.46
152,610,26.2,0.053,22,383,2,2,52.5
150,300,33.3,0.038,31,602,1.4,2,78.59
150,300,41.7,0.014,26,537,0.51,1,51.9
153,305,29.8,0.022,56,1800,0.83,3,63.02
153,305,36.7,0.009,80,1826,0.34,2,53.1
153,305,36.5,0.013,80,1826,0.51,3,63.1
150,300,33.3,0.019,31,602,0.7,1,50.28
153,305,29.8,0.036,56,1800,1.38,4,93.63
100,200,30.2,0.012,87,2707,0.29,2,68.5
160,320,56.7,0.022,24,383,0.88,2,84
152.5,305,73,0.021,95,3055,0.8,4,136
152,305,18.3,0.005,76,3910,0.17,1,27.48
102,204,38,0.056,20,363,1.42,1,57
150,300,90.3,0.035,27,540,1.3,1,97
160,320,52,0.012,74,2500,0.5,3,76.1
152,305,45.6,0.019,15,320,0.74,2,49.4
152.5,305,85.6,0.032,129,2390,1.2,6,165.2
153,305,31.2,0.049,19,565,1.84,3,64.67
150,300,80.8,0.035,27,540,1.3,1,88.9
150,300,107.8,0.035,27,540,1.3,1,116
152,305,19.3,0.005,76,3910,0.17,1,26.53
160,320,42.6,0.025,26,325,1,1,56.5
194,582,44.92,0.006,118,2060,0.29,2,58.75
152,305,47.8,0.101,22,508,3.75,4,113.2
160,320,61.7,0.051,26,325,2,2,76.7
152,305,45.9,0.009,81,1826,0.34,2,52.8
152,305,59,0.053,34,748,2,2,73
153,305,33.9,0.011,95,3055,0.4,2,76.3
160,320,42.6,0.025,26,325,1,1,59.8
153,305,32.1,0.004,5,75,0.17,1,36.8
150,300,31.1,0.069,21,464,2.54,2,87.5
150,300,50.8,0.035,27,540,1.3,1,55.5
150,300,32.54,0.031,65,1700,1.15,7,118.84
160,320,52,0.012,74,2500,0.5,3,75.1
153,305,39.6,0.009,80,1826,0.34,2,56.3
150,300,36.3,0.016,52,583,0.6,2,59.77
150,300,36.3,0.032,52,583,1.2,4,106.87
152,305,39.2,0.013,115,3732,0.51,3,118
152,305,18.85,0.005,76,3910,0.17,1,26.65
150,300,43,0.069,14,230,2.56,2,58.9
152,305,31.8,0.081,5,75,3,3,37.3
120,240,32.7,0.03,33,744,0.9,2,66.3
150,300,107.8,0.107,27,540,3.9,3,125.2
160,320,26.2,0.051,26,325,2,2,30.2
152,305,44.1,0.09,18,425,3.35,3,89.29
153,305,31.2,0.036,56,1800,1.38,4,91.91
152,305,47.8,0.033,22,508,1.25,1,59.8
153,305,52.21,0.032,95,3055,1.2,4,125.3
150,300,23.1,0.008,115,2324,0.29,2,45.2
152,305,44.1,0.06,18,425,2.24,2,80.04
100,200,19.3,0.007,76,3910,0.17,1,33.66
160,320,40,0.014,74,2500,0.55,5,67.7
100,300,78.5,0.011,118,2060,0.29,4,118.3
150,300,36.3,0.016,52,583,0.6,2,59.23
152,305,79.9,0.033,22,508,1.25,1,89
150,300,25.1,0.055,26,537,2.03,4,83.3
150,300,14.8,0.014,26,537,0.51,1,30
100,200,80.6,0.107,26,575,2.6,2,101
152,305,110.6,0.136,22,508,5,4,174.6
150,300,25.1,0.014,26,537,0.51,1,34.2
150,300,42,0.012,65,3000,0.45,3,61
150,300,50.8,0.107,27,540,3.9,3,90.8
150,375,24.2,0.032,26,575,1.2,1,43.8
160,320,40,0.006,74,2500,0.22,2,49.8
160,320,40,0.008,74,2500,0.33,3,50.8
160,320,52,0.012,74,2500,0.5,3,64.7
150,300,32.54,0.012,65,1700,0.46,3,72.43
150,300,32.54,0.012,65,1700,0.46,3,75.83
152,305,47.8,0.033,22,508,1.25,1,59.1
152,305,47.8,0.067,22,508,2.5,3,88
152,305,32.2,0.026,11,220,1,1,30.8
152,305,32.2,0.081,11,220,3,3,48.3
152,305,32.2,0.081,11,220,3,3,48.3
152,305,54,0.053,9,182,2,2,62
152,305,32.1,0.026,5,75,1,1,36.8
152,305,32.1,0.053,5,75,2,2,36.6
152,305,32.1,0.081,5,75,3,3,36.6
150,300,29.39,0.01,76,2300,0.38,1,56.32
152,305,33.1,0.004,80,1826,0.17,1,42.4
152,305,33.1,0.004,80,1826,0.17,1,41.6
152,305,45.9,0.004,80,1826,0.17,1,40.5
153,305,32.1,0.009,5,75,0.34,2,36.6
152,305,38.5,0.068,21,506,2.54,2,75.7
153,305,52.14,0.032,95,3055,1.2,4,119.4
153,305,52.18,0.032,95,3055,1.2,4,126.8
153,305,54.41,0.032,95,3055,1.2,4,123.5
120,240,32.7,0.061,33,744,1.8,4,104.5
103,200,30.7,0.051,26,575,1.3,1,54.5
